ID,From,To,Net,Kind,Sheet,Gauge,Status,Notes
W022,PPR:OUT+,MDR:B+,LINK_R,power,power,실측 후 선정,hold,CL/RB는 드라이버 동일 로컬 링크에 병렬
W023,MDR:B+,CLR:+,LINK_R,power,power,실측 후 선정,hold,CL/RB는 드라이버 동일 로컬 링크에 병렬
W024,MDR:B+,RBR:+,LINK_R,power,power,실측 후 선정,hold,CL/RB는 드라이버 동일 로컬 링크에 병렬
W025,X0:MR,MDR:B-,0V,return,power,실측 후 선정,hold,
W026,MDR:B-,CLR:-,0V,return,power,실측 후 선정,hold,
W027,MDR:B-,RBR:-,0V,return,power,실측 후 선정,hold,
W028,MDR:B-,PPR:0V,0V,return,power,실측 후 선정,hold,
W029,MDR:M+,MR:A,MR_A,motor,power,실측 후 선정,hold,A/B 모두 부동 H브리지 출력. 0V 연결 금지.
W030,MDR:M-,MR:B,MR_B,motor,power,실측 후 선정,hold,A/B 모두 부동 H브리지 출력. 0V 연결 금지.
W031,MR:A,CMR:1,MR_A,motor,power,실측 후 선정,hold,A/B 모두 부동 H브리지 출력. 0V 연결 금지.
W032,MR:B,CMR:2,MR_B,motor,power,실측 후 선정,hold,A/B 모두 부동 H브리지 출력. 0V 연결 금지.
W033,X24:AUX24,F3:IN,BUS24,power,power,실측 후 선정,hold,
W034,F3:OUT,DC1:IN+,DC1_IN,power,power,실측 후 선정,hold,
W035,DC1:OUT+,F9:IN,SAFE24,safety,power,실측 후 선정,hold,
W036,F9:OUT,SR1:24V,SAFE24_F,safety,power,실측 후 선정,hold,
W037,F9:OUT,SR1:O1_FEED,SAFE24_F,safety,power,실측 후 선정,hold,
W038,F9:OUT,SR1:O2_FEED,SAFE24_F,safety,power,실측 후 선정,hold,
W039,X24:AUX5,F4:IN,BUS24,power,power,실측 후 선정,hold,
W040,F4:OUT,DC2:IN+,DC2_IN,power,power,실측 후 선정,hold,
W041,DC2:OUT+,OV5:IN+,5V_RAW,logic,power,실측 후 선정,hold,
W042,OV5:OUT+,F7:IN,5V_PROT,logic,power,실측 후 선정,hold,
W043,OV5:OUT+,F8:IN,5V_PROT,logic,power,실측 후 선정,hold,
W044,F7:OUT,OP1:PWR5,OPI5,logic,power,실측 후 선정,hold,
W045,F8:OUT,H1:DC5,HUB5,logic,power,실측 후 선정,hold,
W046,X0:DC1,DC1:IN-,0V,return,power,실측 후 선정,hold,
W047,DC1:IN-,DC1:OUT-,0V,return,power,실측 후 선정,hold,
W048,X0:DC2,DC2:IN-,0V,return,power,실측 후 선정,hold,
W049,DC2:IN-,DC2:OUT-,0V,return,power,실측 후 선정,hold,
W050,DC2:OUT-,OV5:0V,0V,return,power,실측 후 선정,hold,
W051,DC2:OUT-,OP1:PWR0,0V,return,power,실측 후 선정,hold,
W052,DC2:OUT-,H1:DC0,0V,return,power,실측 후 선정,hold,
W053,X0:SR,SR1:0V,0V,return,power,실측 후 선정,hold,
W054,SR1:TEST_A,S1:A_IN,ESTOP_A_OUT,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W055,S1:A_OUT,SR1:RETURN_A,ESTOP_A_IN,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W056,SR1:TEST_B,S1:B_IN,ESTOP_B_OUT,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W057,S1:B_OUT,SR1:RETURN_B,ESTOP_B_IN,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W058,SR1:RESET_OUT,S2:IN,RESET_OUT,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W059,S2:OUT,SR1:RESET_IN,RESET_IN,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W060,SR1:EDM_OUT,K1:EDM_IN,EDM_START,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W061,K1:EDM_OUT,K2:EDM_IN,EDM_MID,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W062,K2:EDM_OUT,SR1:EDM_IN,EDM_END,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W063,SR1:O1,K1:A1,K1_COIL,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W064,SR1:O2,K2:A1,K2_COIL,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W065,K1:A1,Z1:+,K1_COIL,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W066,K2:A1,Z2:+,K2_COIL,safety,safety,실측 후 선정,hold,SR1/EDMは실단자 매핑 미확정
W067,X0:K1,K1:A2,0V,return,safety,실측 후 선정,hold,
W068,K1:A2,Z1:-,0V,return,safety,실측 후 선정,hold,
W069,X0:K2,K2:A2,0V,return,safety,실측 후 선정,hold,
W070,K2:A2,Z2:-,0V,return,safety,실측 후 선정,hold,
W071,OP1:HOST,H1:UP,USB_UP,usb,signal,제조사 케이블,hold,완성 케이블. USB: VBUS/D-/D+/GND; C1: 전용 5V/GND/TX/RX 하네스.
W072,H1:P1,U1:USB,USB_ESP,usb,signal,제조사 케이블,hold,완성 케이블. USB: VBUS/D-/D+/GND; C1: 전용 5V/GND/TX/RX 하네스.
W073,H1:P2,A1:USB,USB_LIDAR,usb,signal,제조사 케이블,hold,완성 케이블. USB: VBUS/D-/D+/GND; C1: 전용 5V/GND/TX/RX 하네스.
W074,H1:P3,UWL:USB_RANGE,USB_UWL,usb,signal,제조사 케이블,hold,완성 케이블. USB: VBUS/D-/D+/GND; C1: 전용 5V/GND/TX/RX 하네스.
W075,H1:P4,UWR:USB_RANGE,USB_UWR,usb,signal,제조사 케이블,hold,완성 케이블. USB: VBUS/D-/D+/GND; C1: 전용 5V/GND/TX/RX 하네스.
W076,A1:HARNESS,LD1:HARNESS,C1_HARNESS,usb,signal,제조사 케이블,review,완성 케이블. USB: VBUS/D-/D+/GND; C1: 전용 5V/GND/TX/RX 하네스.
W077,U1:3V3_OUT,X3:3V3_IN,3V3,logic,sensor,신호전류/거리 검토,review,
W078,U1:GND_VERIFIED,X3:0V_IN,0V,return,sensor,신호전류/거리 검토,review,
W079,X3:3V3_IMU,IMU1:VIN,3V3,logic,sensor,실측 후 선정,review,
W080,X3:0V_IMU,IMU1:GND,0V,return,sensor,실측 후 선정,review,
W081,X3:3V3_MUX,MUX1:VCC,3V3,logic,sensor,실측 후 선정,review,
W082,X3:0V_MUX,MUX1:GND,0V,return,sensor,실측 후 선정,review,
W083,X3:3V3_T1,TOF1:VIN,3V3,logic,sensor,실측 후 선정,review,
W084,X3:0V_T1,TOF1:GND,0V,return,sensor,실측 후 선정,review,
W085,X3:3V3_T2,TOF2:VIN,3V3,logic,sensor,실측 후 선정,review,
W086,X3:0V_T2,TOF2:GND,0V,return,sensor,실측 후 선정,review,
W091,U1:GPIO18,IMU1:SCL_SCK,IMU_SCK,signal,sensor,짧은 3.3V 신호 하네스,review,
W092,U1:GPIO23,IMU1:DI_MOSI,IMU_MOSI,signal,sensor,짧은 3.3V 신호 하네스,review,
W093,U1:GPIO19,IMU1:SDA_MISO,IMU_MISO,signal,sensor,짧은 3.3V 신호 하네스,review,
W094,U1:GPIO27,IMU1:CS,IMU_CS,signal,sensor,짧은 3.3V 신호 하네스,review,
W095,U1:GPIO34,IMU1:INT,IMU_INT,signal,sensor,짧은 3.3V 신호 하네스,review,
W096,U1:GPIO32,IMU1:RST,IMU_RST,signal,sensor,짧은 3.3V 신호 하네스,review,
W097,U1:GPIO21,MUX1:SDA,SDA,signal,sensor,짧은 3.3V 신호 하네스,review,
W098,U1:GPIO22,MUX1:SCL,SCL,signal,sensor,짧은 3.3V 신호 하네스,review,
W099,U1:GPIO33,MUX1:RESET,MUX_RST,signal,sensor,짧은 3.3V 신호 하네스,review,
W100,IMU1:VIN,IMU1:P0,3V3,logic,sensor,실측 후 선정,review,
W101,IMU1:VIN,IMU1:P1,3V3,logic,sensor,실측 후 선정,review,
W102,MUX1:GND,MUX1:A0,0V,return,sensor,실측 후 선정,review,
W103,MUX1:GND,MUX1:A1,0V,return,sensor,실측 후 선정,review,
W104,MUX1:GND,MUX1:A2,0V,return,sensor,실측 후 선정,review,
W105,MUX1:SD0,TOF1:SDA,SDA_T1,signal,sensor,실측 후 선정,review,같은 0x29 주소: 한 채널씩 활성화
W106,MUX1:SC0,TOF1:SCL,SCL_T1,signal,sensor,실측 후 선정,review,같은 0x29 주소: 한 채널씩 활성화
W107,MUX1:SD1,TOF2:SDA,SDA_T2,signal,sensor,실측 후 선정,review,같은 0x29 주소: 한 채널씩 활성화
W108,MUX1:SC1,TOF2:SCL,SCL_T2,signal,sensor,실측 후 선정,review,같은 0x29 주소: 한 채널씩 활성화
W109,X3:3V3_IN,RP_SDA:1,3V3,logic,sensor,실측 후 선정,review,온보드 중복 저항 확인
W110,RP_SDA:2,MUX1:SDA,SDA,signal,sensor,실측 후 선정,review,온보드 중복 저항 확인
W111,X3:3V3_IN,RP_SCL:1,3V3,logic,sensor,실측 후 선정,review,온보드 중복 저항 확인
W112,RP_SCL:2,MUX1:SCL,SCL,signal,sensor,실측 후 선정,review,온보드 중복 저항 확인
W113,X3:3V3_IN,RP_RST:1,3V3,logic,sensor,실측 후 선정,review,온보드 중복 저항 확인
W114,RP_RST:2,MUX1:RESET,MUX_RST,signal,sensor,실측 후 선정,review,온보드 중복 저항 확인
W115,X3:3V3_IN,RP_INT:1,3V3,logic,sensor,실측 후 선정,review,온보드 중복 저항 확인
W116,RP_INT:2,IMU1:INT,IMU_INT,signal,sensor,실측 후 선정,review,온보드 중복 저항 확인
W129,BT1:CHG+,FCH:IN,CHG+,charge,power,실측 후 선정,hold,실제 BMS 지정 충전 포트 확정 전 결선 금지
W130,FCH:OUT,CH1:+,CHG_FUSED,charge,power,실측 후 선정,hold,실제 BMS 지정 충전 포트 확정 전 결선 금지
W131,BT1:CHG-,CH1:-,CHG-,charge,power,실측 후 선정,hold,실제 BMS 지정 충전 포트 확정 전 결선 금지
W132,K2:T1,F11:IN,DRIVE24,power,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W133,F11:OUT,DC3:IN+,STEER_IN,power,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W134,X0:STEER,DC3:IN-,0V,return,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W135,DC3:IN-,DC3:OUT-,0V,return,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W136,DC3:OUT+,OV12:IN+,12V_RAW,steerpower,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W137,DC3:OUT-,OV12:0V,0V,return,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W138,OV12:OUT+,X12:IN,12V_STEER,steerpower,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W139,DC3:OUT-,X12:RETURN,0V,return,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W140,X12:ABS+,CL12:+,12V_STEER,steerpower,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W141,X12:ABS-,CL12:-,0V,return,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W142,X12:L,F5:IN,12V_STEER,steerpower,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W143,X12:R,F6:IN,12V_STEER,steerpower,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W144,F5:OUT,JSL:PWR,SVL_12,steerpower,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W145,F6:OUT,JSR:PWR,SVR_12,steerpower,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W146,X12:L0,JSL:GND,0V,return,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W147,X12:R0,JSR:GND,0V,return,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W148,JSL:PWR,SVL:V+,SVL_12,steerpower,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W149,JSL:GND,SVL:GND,0V,return,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W150,JSR:PWR,SVR:V+,SVR_12,steerpower,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W151,JSR:GND,SVR:GND,0V,return,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W152,X12:LOGIC,F10:IN,12V_STEER,steerpower,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W153,F10:OUT,DC4:IN+,PWM_SUP_IN,steerpower,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W154,X12:LOGIC0,DC4:IN-,0V,return,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W155,DC4:IN-,DC4:OUT-,0V,return,steering,정격·실측 후 선정,hold,D3 전륜 서보 추가 연결. 실물 핀맵/극성/정격 확인.
W156,X3:3V3_PWM,U2:1_VCC1,3V3,logic,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W157,X3:0V_PWM,U2:4_GND1,0V,return,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W158,DC4:OUT+,U2:8_VCC2,5V_SERVO_IO,logic,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W159,DC4:OUT-,U2:5_GND2,0V,return,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W160,U1:GPIO13,U2:2_INA,PWM_L_3V3,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W161,U1:GPIO14,U2:3_INB,PWM_R_3V3,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W162,U2:2_INA,R21:1,PWM_L_3V3,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W163,R21:2,U2:4_GND1,0V,return,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W164,U2:3_INB,R22:1,PWM_R_3V3,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W165,R22:2,U2:4_GND1,0V,return,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W166,U2:7_OUTA,R23:1,PWM_L_5V,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W167,U2:6_OUTB,R24:1,PWM_R_5V,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W168,R23:2,JSL:SIG,SVL_PWM,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W169,R24:2,JSR:SIG,SVR_PWM,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W170,JSL:SIG,R25:1,SVL_PWM,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W171,R25:2,JSL:GND,0V,return,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W172,JSR:SIG,R26:1,SVR_PWM,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W173,R26:2,JSR:GND,0V,return,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W174,JSL:SIG,SVL:PWM,SVL_PWM,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W175,JSR:SIG,SVR:PWM,SVR_PWM,signal,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W176,U2:1_VCC1,C21:+,3V3,logic,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W177,C21:-,U2:4_GND1,0V,return,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W178,U2:8_VCC2,C22:+,5V_SERVO_IO,logic,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W179,C22:-,U2:5_GND2,0V,return,pwm,짧은 신호 하네스 / 파형 확인,hold,3.3V 입력측과 5V 출력측 양극을 절대 묶지 않음. 서보 전력귀환은 별도 선로.
W180,K2:T1,JDRV:IN,DRIVE24,power,power,전류/온도/길이 측정 후 선정,hold,물리 링크 OPEN. 보호회로나 전압 변환기가 아니며 8S 배터리 부적합성을 해소하지 않음.
W181,OV5:OUT+,F12:IN,5V_PROT,logic,usb,신호 0.22 mm² 후보 / 실측 검증,conditional,
W182,F12:OUT,X5:IN,5V_MOTOR_IO,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W183,X0:SR,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W184,U1:GPIO4,RARM:1,DRIVE_ARM_3V3,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W185,RARM:2,QEN:B,QEN_BASE,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W186,QEN:B,RBE:1,QEN_BASE,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W187,RBE:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W188,QEN:E,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W189,U1:GPIO4,RARM_PD:1,DRIVE_ARM_3V3,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W190,RARM_PD:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W191,X5:BL,U3:14_VCC,5V_MOTOR_IO,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W192,X5:L,MDL:VCC,5V_MOTOR_IO,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W193,X5:0V,MDL:GND,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W194,X5:0V,U3:7_GND,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W195,X5:CAP_L,COL:+,5V_MOTOR_IO,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W196,COL:-,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W197,X5:OE_L,ROL:1,5V_MOTOR_IO,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W198,ROL:2,U3:1_OE,MOTOR_OE_N,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W199,QEN:C,U3:1_OE,MOTOR_OE_N,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W200,U3:1_OE,U3:4_OE,MOTOR_OE_N,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W201,U3:1_OE,U3:10_OE,MOTOR_OE_N,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W202,U3:1_OE,U3:13_OE,MOTOR_OE_N,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W203,X3:3V3_IN,U3:9_A3,3V3,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W204,X3:3V3_IN,U3:12_A4,3V3,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W205,U1:GPIO17,U3:2_A1,PWM_ML_R_3V3,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W206,U1:GPIO16,U3:5_A2,PWM_ML_L_3V3,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W207,U3:3_Y1,RSL1:1,MDL_RPWM_RAW,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W208,RSL1:2,MDL:RPWM,MDL_RPWM,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,IBT-2 실크 기준. 220Ω은 신호 댐핑 후보; 실제 파형·전압 확인.
W209,MDL:RPWM,RDL1:1,MDL_RPWM,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W210,RDL1:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W211,U3:6_Y2,RSL2:1,MDL_LPWM_RAW,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W212,RSL2:2,MDL:LPWM,MDL_LPWM,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,IBT-2 실크 기준. 220Ω은 신호 댐핑 후보; 실제 파형·전압 확인.
W213,MDL:LPWM,RDL2:1,MDL_LPWM,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W214,RDL2:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W215,U3:8_Y3,RSL3:1,MDL_REN_RAW,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W216,RSL3:2,MDL:R_EN,MDL_REN,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,IBT-2 실크 기준. 220Ω은 신호 댐핑 후보; 실제 파형·전압 확인.
W217,MDL:R_EN,RDL3:1,MDL_REN,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W218,RDL3:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W219,U3:11_Y4,RSL4:1,MDL_LEN_RAW,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W220,RSL4:2,MDL:L_EN,MDL_LEN,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,IBT-2 실크 기준. 220Ω은 신호 댐핑 후보; 실제 파형·전압 확인.
W221,MDL:L_EN,RDL4:1,MDL_LEN,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W222,RDL4:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W223,U3:2_A1,RIL1:1,PWM_ML_R_3V3,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W224,RIL1:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W225,U3:5_A2,RIL2:1,PWM_ML_L_3V3,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W226,RIL2:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W227,X5:BR,U4:14_VCC,5V_MOTOR_IO,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W228,X5:R,MDR:VCC,5V_MOTOR_IO,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W229,X5:0V,MDR:GND,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W230,X5:0V,U4:7_GND,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W231,X5:CAP_R,COR:+,5V_MOTOR_IO,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W232,COR:-,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W233,X5:OE_R,ROR:1,5V_MOTOR_IO,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W234,ROR:2,U4:1_OE,MOTOR_OE_N,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
