Component,Terminal,Net
U1,USB,USB_ESP
U1,3V3_OUT,3V3
U1,GND_VERIFIED,0V
U1,GPIO17,PWM_ML_R_3V3
U1,GPIO16,PWM_ML_L_3V3
U1,GPIO25,PWM_MR_R_3V3
U1,GPIO26,PWM_MR_L_3V3
U1,GPIO18,IMU_SCK
U1,GPIO23,IMU_MOSI
U1,GPIO19,IMU_MISO
U1,GPIO27,IMU_CS
U1,GPIO34,IMU_INT
U1,GPIO32,IMU_RST
U1,GPIO21,SDA
U1,GPIO22,SCL
U1,GPIO33,MUX_RST
U1,GPIO13,PWM_L_3V3
U1,GPIO14,PWM_R_3V3
U1,GPIO4,DRIVE_ARM_3V3
A1,USB,USB_LIDAR
A1,HARNESS,C1_HARNESS
LD1,HARNESS,C1_HARNESS
UWL,USB_RANGE,USB_UWL
UWR,USB_RANGE,USB_UWR
X3,3V3_IN,3V3
X3,0V_IN,0V
X3,3V3_IMU,3V3
X3,0V_IMU,0V
X3,3V3_MUX,3V3
X3,0V_MUX,0V
X3,3V3_T1,3V3
X3,0V_T1,0V
X3,3V3_T2,3V3
X3,0V_T2,0V
X3,3V3_PWM,3V3
X3,0V_PWM,0V
IMU1,VIN,3V3
IMU1,GND,0V
IMU1,SCL_SCK,IMU_SCK
IMU1,DI_MOSI,IMU_MOSI
IMU1,SDA_MISO,IMU_MISO
IMU1,CS,IMU_CS
IMU1,INT,IMU_INT
IMU1,RST,IMU_RST
IMU1,P0,3V3
IMU1,P1,3V3
MUX1,VCC,3V3
MUX1,GND,0V
MUX1,SDA,SDA
MUX1,SCL,SCL
MUX1,SD0,SDA_T1
MUX1,SC0,SCL_T1
MUX1,SD1,SDA_T2
MUX1,SC1,SCL_T2
MUX1,A0,0V
MUX1,A1,0V
MUX1,A2,0V
MUX1,RESET,MUX_RST
TOF1,VIN,3V3
TOF1,GND,0V
TOF1,SDA,SDA_T1
TOF1,SCL,SCL_T1
TOF2,VIN,3V3
TOF2,GND,0V
TOF2,SDA,SDA_T2
TOF2,SCL,SCL_T2
RP_SDA,1,3V3
RP_SDA,2,SDA
RP_SCL,1,3V3
RP_SCL,2,SCL
RP_RST,1,3V3
RP_RST,2,MUX_RST
RP_INT,1,3V3
RP_INT,2,IMU_INT
CH1,+,CHG_FUSED
CH1,-,CHG-
FCH,IN,CHG+
FCH,OUT,CHG_FUSED
F11,IN,DRIVE24
F11,OUT,STEER_IN
DC3,IN+,STEER_IN
DC3,IN-,0V
DC3,OUT+,12V_RAW
DC3,OUT-,0V
OV12,IN+,12V_RAW
OV12,OUT+,12V_STEER
OV12,0V,0V
X12,IN,12V_STEER
X12,L,12V_STEER
X12,R,12V_STEER
X12,LOGIC,12V_STEER
X12,ABS+,12V_STEER
X12,RETURN,0V
X12,L0,0V
X12,R0,0V
X12,LOGIC0,0V
X12,SIG0,0V
X12,ABS-,0V
CL12,+,12V_STEER
CL12,-,0V
F5,IN,12V_STEER
F5,OUT,SVL_12
SVL,V+,SVL_12
SVL,GND,0V
SVL,PWM,SVL_PWM
JSL,PWR,SVL_12
JSL,GND,0V
JSL,SIG,SVL_PWM
F6,IN,12V_STEER
F6,OUT,SVR_12
SVR,V+,SVR_12
SVR,GND,0V
SVR,PWM,SVR_PWM
JSR,PWR,SVR_12
JSR,GND,0V
JSR,SIG,SVR_PWM
F10,IN,12V_STEER
F10,OUT,PWM_SUP_IN
DC4,IN+,PWM_SUP_IN
DC4,IN-,0V
DC4,OUT+,5V_SERVO_IO
DC4,OUT-,0V
U2,1_VCC1,3V3
U2,2_INA,PWM_L_3V3
U2,3_INB,PWM_R_3V3
U2,4_GND1,0V
U2,5_GND2,0V
U2,6_OUTB,PWM_R_5V
U2,7_OUTA,PWM_L_5V
U2,8_VCC2,5V_SERVO_IO
R21,1,PWM_L_3V3
R21,2,0V
R22,1,PWM_R_3V3
R22,2,0V
R23,1,PWM_L_5V
R23,2,SVL_PWM
R24,1,PWM_R_5V
R24,2,SVR_PWM
R25,1,SVL_PWM
R25,2,0V
R26,1,SVR_PWM
R26,2,0V
C21,+,3V3
C21,-,0V
C22,+,5V_SERVO_IO
C22,-,0V
JDRV,IN,DRIVE24
JDRV,OUT,IBT_BUS
F12,IN,5V_PROT
F12,OUT,5V_MOTOR_IO
X5,IN,5V_MOTOR_IO
X5,0V,0V
X5,L,5V_MOTOR_IO
X5,R,5V_MOTOR_IO
X5,BL,5V_MOTOR_IO
X5,BR,5V_MOTOR_IO
X5,OE_L,5V_MOTOR_IO
X5,OE_R,5V_MOTOR_IO
X5,CAP_L,5V_MOTOR_IO
X5,CAP_R,5V_MOTOR_IO
QEN,B,QEN_BASE
QEN,C,MOTOR_OE_N
QEN,E,0V
RBE,1,QEN_BASE
RBE,2,0V
RARM,1,DRIVE_ARM_3V3
RARM,2,QEN_BASE
RARM_PD,1,DRIVE_ARM_3V3
RARM_PD,2,0V
U3,1_OE,MOTOR_OE_N
U3,2_A1,PWM_ML_R_3V3
U3,3_Y1,MDL_RPWM_RAW
U3,4_OE,MOTOR_OE_N
U3,5_A2,PWM_ML_L_3V3
U3,6_Y2,MDL_LPWM_RAW
U3,7_GND,0V
U3,8_Y3,MDL_REN_RAW
U3,9_A3,3V3
U3,10_OE,MOTOR_OE_N
U3,11_Y4,MDL_LEN_RAW
U3,12_A4,3V3
U3,13_OE,MOTOR_OE_N
U3,14_VCC,5V_MOTOR_IO
COL,+,5V_MOTOR_IO
COL,-,0V
ROL,1,5V_MOTOR_IO
ROL,2,MOTOR_OE_N
RSL1,1,MDL_RPWM_RAW
RSL1,2,MDL_RPWM
RDL1,1,MDL_RPWM
RDL1,2,0V
RSL2,1,MDL_LPWM_RAW
RSL2,2,MDL_LPWM
RDL2,1,MDL_LPWM
RDL2,2,0V
RSL3,1,MDL_REN_RAW
RSL3,2,MDL_REN
RDL3,1,MDL_REN
RDL3,2,0V
RSL4,1,MDL_LEN_RAW
RSL4,2,MDL_LEN
RDL4,1,MDL_LEN
RDL4,2,0V
RIL1,1,PWM_ML_R_3V3
RIL1,2,0V
RIL2,1,PWM_ML_L_3V3
RIL2,2,0V
U4,1_OE,MOTOR_OE_N
U4,2_A1,PWM_MR_R_3V3
U4,3_Y1,MDR_RPWM_RAW
U4,4_OE,MOTOR_OE_N
U4,5_A2,PWM_MR_L_3V3
U4,6_Y2,MDR_LPWM_RAW
U4,7_GND,0V
U4,8_Y3,MDR_REN_RAW
U4,9_A3,3V3
U4,10_OE,MOTOR_OE_N
U4,11_Y4,MDR_LEN_RAW
U4,12_A4,3V3
U4,13_OE,MOTOR_OE_N
U4,14_VCC,5V_MOTOR_IO
COR,+,5V_MOTOR_IO
COR,-,0V
ROR,1,5V_MOTOR_IO
ROR,2,MOTOR_OE_N
RSR1,1,MDR_RPWM_RAW
RSR1,2,MDR_RPWM
RDR1,1,MDR_RPWM
RDR1,2,0V
RSR2,1,MDR_LPWM_RAW
RSR2,2,MDR_LPWM
RDR2,1,MDR_LPWM
RDR2,2,0V
RSR3,1,MDR_REN_RAW
RSR3,2,MDR_REN
RDR3,1,MDR_REN
RDR3,2,0V
RSR4,1,MDR_LEN_RAW
RSR4,2,MDR_LEN
RDR4,1,MDR_LEN
RDR4,2,0V
RIR1,1,PWM_MR_R_3V3
RIR1,2,0V
RIR2,1,PWM_MR_L_3V3
RIR2,2,0V
